Causa,Fecha_Evento,Fenomeno,idEvento,idFenomeno_1,idFenomeno,idLocalidad,idMunicipio,idRegion,Latitud,Longitud,Nombre,Region,Municipio,Localidad
VERIFICACIONES,JUNIO 10. 2014,ACCIONES DE PREVENCION,44.885,52,8,20.119,115,1,16.74,-93.1,ENCHARCAMIENTO DE DOMICILIO,METROPOLITANA,TUXTLA GUTIERREZ,CABECERA MUNICIPAL
VERIFICACIONES,JUNIO 11. 2014,ACCIONES DE PREVENCION,44.888,52,8,20.119,115,1,16.74,-93.12,ENCHARCAMIENTO DE DOMICILIO,METROPOLITANA,TUXTLA GUTIERREZ,CABECERA MUNICIPAL
VERIFICACIONES,JUNIO 11. 2014,ACCIONES DE PREVENCION,44.889,52,8,20.119,115,1,16.74,-93.17,ENCHARCAMIENTO DE DOMICILIO,METROPOLITANA,TUXTLA GUTIERREZ,CABECERA MUNICIPAL
VERIFICACIONES,JUNIO 11. 2014,ACCIONES DE PREVENCION,44.89,52,8,20.119,115,1,16.74,-93.18,ENCHARCAMIENTO DE DOMICILIO,METROPOLITANA,TUXTLA GUTIERREZ,CABECERA MUNICIPAL
VERIFICACIONES,JUNIO 11. 2014,ACCIONES DE PREVENCION,44.891,52,8,20.119,115,1,16.75,-93.17,ENCHARCAMIENTO DE DOMICILIO,METROPOLITANA,TUXTLA GUTIERREZ,CABECERA MUNICIPAL
ENCHARCAMIENTO,JUNIO 19. 2014,HIDROMETEOROLOGICOS,45.157,69,1,20.09,86,10,15.23,-92.56,VIVIENDAS ENCHARCADAS EN EL MUNICIPIO DE VILLA DE COMATITLAN,SOCONUSCO,VILLA COMALTITLAN,CABECERA MUNICIPAL
PRECIPITACION,JUNIO 19. 2014,HIDROMETEOROLOGICOS,45.161,1,1,20.025,21,11,15.43,-92.11,AFECTACIONES A VIVIENDAS,SIERRA MARISCAL,AMATENANGO DE LA FRONTERA,CABECERA MUNICIPAL
VERIFICACIONES,JUNIO 19. 2014,ACCIONES DE PREVENCION,45.174,52,8,952,89,8,17.98,-93.28,TRABAJOS DE IDENTIFICACION DE RIESGO MACAYO 1ERA.,NORTE,REFORMA,MACAYO 1RA. SECCION (LAS MERCEDES)
AFECTACIONES POR LLUVIAS,JUNIO 19. 2014,HIDROMETEOROLOGICOS,45.199,80,1,171,32,2,16.57,-93.82,VERIFICACIONES,VALLES ZOQUE,CINTALAPA,CINTALAPA DE FIGUEROA
ENCHARCAMIENTO,JUNIO 19. 2014,HIDROMETEOROLOGICOS,45.2,69,1,227,93,5,16.71,-92.61,ENCHARCAMIENTO EN COLONIA EL CAMPANARIO,ALTOS TSOTSIL-TSELTAL,SAN CRISTOBAL DE LAS CASAS,SAN CRISTOBAL DE LAS CASAS
ENCHARCAMIENTO,JUNIO 20. 2014,HIDROMETEOROLOGICOS,45.201,69,1,15.878,32,2,16.69,-93.72,ENCHARCAMIENTO POR LLUVIAS,VALLES ZOQUE,CINTALAPA,SANTA CECILIA
PRECIPITACION,JUNIO 20. 2014,HIDROMETEOROLOGICOS,45.222,1,1,20.145,20.141,6,16.36,-93,ENCHARCAMIENTO POR LLUVIAS,FRAILESCA,EL PARRAL,CABECERA MUNICIPAL
VERIFICACIONES,JUNIO 22. 2014,ACCIONES DE PREVENCION,45.293,52,8,20.119,115,1,16.76,-93.18,ENCHARCAMIENTO DE DOMICILIO,METROPOLITANA,TUXTLA GUTIERREZ,CABECERA MUNICIPAL
VERIFICACIONES,JUNIO 22. 2014,ACCIONES DE PREVENCION,45.294,52,8,20.119,115,1,16.74,-93.1,ENCHARCAMIENTO DE DOMICILIO,METROPOLITANA,TUXTLA GUTIERREZ,CABECERA MUNICIPAL
DESLIZAMIENTO,JUNIO 25. 2014,GEOLOGICOS,45.401,22,3,12.913,67,15,16.38,-91.67,DESLIZAMIENTO DE TIERRA SOBRE VIVIENDA,MESETA COMITECA TOJOLABAL,LAS MARGARITAS,VICTORIA LA PAZ
VERIFICACIONES,JUNIO 25. 2014,ACCIONES DE PREVENCION,45.403,52,8,20.038,34,15,16.24,-92.11,VERIFICACION DE SECUNDARIA. POR PROBLEMAS EN EL DRENAJE,MESETA COMITECA TOJOLABAL,COMITAN DE DOMINGUEZ,CABECERA MUNICIPAL
PRECIPITACION,JUNIO 26. 2014,HIDROMETEOROLOGICOS,45.439,1,1,7.284,62,7,17.07,-92.86,DESASOLVE DE CUNETAS,DE LOS BOSQUES,JITOTOL,LAGUNA DE PAJAROS AZULES
PRECIPITACION,JUNIO 27. 2014,HIDROMETEOROLOGICOS,45.459,1,1,20.119,115,1,16.75,-93.1,LECTURA DEL PROCEDA,METROPOLITANA,TUXTLA GUTIERREZ,CABECERA MUNICIPAL
